Geo,Year,PropRuralOnSite,PropRuralMixed,PropRuralRemote,PropTownOnSite,PropTownMixed,PropTownRemote,PropMetroOnSite,PropMetroMixed,PropMetroRemote
Barnstable,2015,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855
Berkshire,2015,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779
Bristol,2015,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381
Dukes,2015,0.250174685,0.572267182,0.177558133,0.250174685,0.572267182,0.177558133,0.250174685,0.572267182,0.177558133
Essex,2015,0.249349549,0.579463576,0.171186875,0.249349549,0.579463576,0.171186875,0.249349549,0.579463576,0.171186875
Franklin,2015,0.248059536,0.587522188,0.164418276,0.248059536,0.587522188,0.164418276,0.248059536,0.587522188,0.164418276
Hampden,2015,0.257845921,0.591378472,0.150775607,0.257845921,0.591378472,0.150775607,0.257845921,0.591378472,0.150775607
Hampshire,2015,0.239348455,0.587717962,0.172933583,0.239348455,0.587717962,0.172933583,0.239348455,0.587717962,0.172933583
Middlesex,2015,0.223274279,0.578619912,0.19810581,0.223274279,0.578619912,0.19810581,0.223274279,0.578619912,0.19810581
Nantucket,2015,0.255543808,0.571837597,0.172618594,0.255543808,0.571837597,0.172618594,0.255543808,0.571837597,0.172618594
Norfolk,2015,0.238346602,0.563038727,0.198614671,0.238346602,0.563038727,0.198614671,0.238346602,0.563038727,0.198614671
Plymouth,2015,0.258886608,0.571502246,0.169611146,0.258886608,0.571502246,0.169611146,0.258886608,0.571502246,0.169611146
Suffolk,2015,0.265234889,0.570540897,0.164224214,0.265234889,0.570540897,0.164224214,0.265234889,0.570540897,0.164224214
Worcester,2015,0.250173239,0.580141838,0.169684922,0.250173239,0.580141838,0.169684922,0.250173239,0.580141838,0.169684922
BarnOutofState,2015,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
BerkOutofState,2015,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Bos3OutofState,2015,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Bos2OutofState,2015,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
HampOutofState,2015,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Bos1OutofState,2015,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
WorcOutofState,2015,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Barnstable,2025,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855
Berkshire,2025,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779
Bristol,2025,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381
