Geo,Year,PropGQPopCenter,PropGQPopInner,PropGQPopOuter,PropGQPopFringe
Barnstable,2015,0,0.15,0.8,0.05
Berkshire,2015,0,0.06,0.82,0.12
Bristol,2015,0.02,0.12,0.85,0.01
Dukes,2015,0,0,0.05,0.95
Essex,2015,0.04,0.46,0.48,0.02
Franklin,2015,0,0.02,0.84,0.14
Hampden,2015,0.06,0.54,0.4,0
Hampshire,2015,0,0.13,0.85,0.02
Middlesex,2015,0.56,0.4,0.04,0
Nantucket,2015,0,0,0.74,0.26
Norfolk,2015,0.08,0.44,0.33,0.15
Plymouth,2015,0,0.15,0.8,0.05
Suffolk,2015,0.86,0.12,0.02,0
Worcester,2015,0.2,0.39,0.28,0.13
BarnOutofState,2015,0.13,0.212857142857143,0.521428571428571,0.135714285714286
BerkOutofState,2015,0.13,0.212857142857143,0.521428571428571,0.135714285714286
Bos3OutofState,2015,0.13,0.212857142857143,0.521428571428571,0.135714285714286
Bos2OutofState,2015,0.13,0.212857142857143,0.521428571428571,0.135714285714286
HampOutofState,2015,0.13,0.212857142857143,0.521428571428571,0.135714285714286
Bos1OutofState,2015,0.13,0.212857142857143,0.521428571428571,0.135714285714286
WorcOutofState,2015,0.13,0.212857142857143,0.521428571428571,0.135714285714286
Barnstable,2025,0,0.15,0.8,0.05
Berkshire,2025,0,0.06,0.82,0.12
Bristol,2025,0.02,0.12,0.85,0.01
Dukes,2025,0,0,0.05,0.95
Essex,2025,0.04,0.46,0.48,0.02
Franklin,2025,0,0.02,0.84,0.14
Hampden,2025,0.06,0.54,0.4,0
Hampshire,2025,0,0.13,0.85,0.02
Middlesex,2025,0.56,0.4,0.04,0
Nantucket,2025,0,0,0.74,0.26
Norfolk,2025,0.08,0.44,0.33,0.15
Plymouth,2025,0,0.15,0.8,0.05
Suffolk,2025,0.86,0.12,0.02,0
Worcester,2025,0.2,0.39,0.28,0.13
BarnOutofState,2025,0.13,0.212857142857143,0.521428571428571,0.135714285714286
BerkOutofState,2025,0.13,0.212857142857143,0.521428571428571,0.135714285714286
Bos3OutofState,2025,0.13,0.212857142857143,0.521428571428571,0.135714285714286
Bos2OutofState,2025,0.13,0.212857142857143,0.521428571428571,0.135714285714286
HampOutofState,2025,0.13,0.212857142857143,0.521428571428571,0.135714285714286
Bos1OutofState,2025,0.13,0.212857142857143,0.521428571428571,0.135714285714286
WorcOutofState,2025,0.13,0.212857142857143,0.521428571428571,0.135714285714286
Barnstable,2050,0,0.15,0.8,0.05
Berkshire,2050,0,0.06,0.82,0.12
Bristol,2050,0.02,0.12,0.85,0.01
Dukes,2050,0,0,0.05,0.95
Essex,2050,0.04,0.46,0.48,0.02
Franklin,2050,0,0.02,0.84,0.14
Hampden,2050,0.06,0.54,0.4,0
Hampshire,2050,0,0.13,0.85,0.02
Middlesex,2050,0.56,0.4,0.04,0
Nantucket,2050,0,0,0.74,0.26
Norfolk,2050,0.08,0.44,0.33,0.15
Plymouth,2050,0,0.15,0.8,0.05
Suffolk,2050,0.86,0.12,0.02,0
Worcester,2050,0.2,0.39,0.28,0.13
BarnOutofState,2050,0.13,0.212857142857143,0.521428571428571,0.135714285714286
BerkOutofState,2050,0.13,0.212857142857143,0.521428571428571,0.135714285714286
Bos3OutofState,2050,0.13,0.212857142857143,0.521428571428571,0.135714285714286
Bos2OutofState,2050,0.13,0.212857142857143,0.521428571428571,0.135714285714286
HampOutofState,2050,0.13,0.212857142857143,0.521428571428571,0.135714285714286
Bos1OutofState,2050,0.13,0.212857142857143,0.521428571428571,0.135714285714286
WorcOutofState,2050,0.13,0.212857142857143,0.521428571428571,0.135714285714286
