Geo,Year,AveHhSize,Prop1PerHh
Barnstable,2015,2.160193609,0.329199191
Berkshire,2015,2.171125996,0.343428675
Bristol,2015,2.437765589,0.281834089
Dukes,2015,2.200099883,0.283669053
Essex,2015,2.507693323,0.274385923
Franklin,2015,2.261704523,0.304019601
Hampden,2015,2.462572075,0.285308084
Hampshire,2015,2.292200372,0.305367468
Middlesex,2015,2.47329768,0.272572664
Nantucket,2015,2.345653836,0.324241652
Norfolk,2015,2.505006839,0.276876842
Plymouth,2015,2.598098388,0.238010197
Suffolk,2015,2.251169642,0.362551909
Worcester,2015,2.492167371,0.267259011
Barnstable,2050,1.525761596,NA
Berkshire,2050,2.019178044,NA
Bristol,2050,2.105447848,NA
Dukes,2050,1.877534634,NA
Essex,2050,2.263374816,NA
Franklin,2050,1.754666223,NA
Hampden,2050,2.326132795,NA
Hampshire,2050,2.29672213,NA
Middlesex,2050,2.171634502,NA
Nantucket,2050,2.313896898,NA
Norfolk,2050,2.217962963,NA
Plymouth,2050,2.348225362,NA
Suffolk,2050,2.272490365,NA
Worcester,2050,2.199422628,NA
